ADDRESS,LINK
1714 Willow Way Anna   TX 75409,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1147909
18127 Whispering Gables Ln Dallas   TX 75287,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149269
928 Silver Sage Dr Wylie   TX 75098,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1148657
914 S Ballard Ave Wylie   TX 75098,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149061
17610 Soman Nevada   TX 75173,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1148691
3912 Cross Bend Rd Plano   TX 75023,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1146473
917 Topaz Dr McKinney   TX 75071,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149039
3300 Ashington Ln Plano   TX 75023,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1147519
6314 Memorial Dr Frisco   TX 75034,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149263
1009 Meadow Green Ct Princeton   TX 75407,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149840
826 Idlewood Dr Allen   TX 75002,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149258
1302 Winecup Ct Allen   TX 75002,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149102
1309 Meadowbrook Dr McKinney   TX 75069,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1148654
1334 Rusk Dr Allen   TX 75002,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149429
416 Parkhaven Dr McKinney   TX 75071,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1148950
3921 Colwick Ct Plano   TX 75023,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149839
728 Sunkist Ln Plano   TX 75025,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1147446
1412 Belaire Dr McKinney   TX 75069,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149062
205 Creekview Dr Wylie   TX 75098,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1149427
804 Cascades Dr Allen   TX 75002,https://apps.collincountytx.gov/ForeclosureNotices/Property/PropertyDetails/1148735
